v_id,nom_district,v_nom,region
503,Port Louis,Priest Peak,N 
504,Moka,Providence,C 
505,Moka,Quartier Militaire,C 
506,Plaines Wilhems,Quatre Bornes,C 
507,Flacq,Quatre Cocos,E 
508,Flacq,Quatre Soeurs,E 
509,Flacq,Queen Victoria,E 
510,Plaines Wilhems,Quinze Cantons,C 
512,Moka,Réservoir Piton Milieu,C 
513,Plaines Wilhems,Réunion,C 
514,Rivière du Rempart,Réunion Maurel,N 
515,Savanne,Riambel,S 
516,Flacq,Rich Fund,E 
517,Savanne,Riche Bois,S 
518,Grand Port,Riche en Eau,S 
519,Flacq,Riche Mare,E 
520,Pamplemousses,Riche Terre,N 
521,Rivière Noire - Black River,Richelieu,W 
522,Moka,Ripailles,C 
523,Plaines Wilhems,River Side,C 
524,Moka,Rivière Baptiste,C 
525,Savanne,Rivière des Anguilles,S 
526,Grand Port,Rivière des Créoles,S 
527,Savanne,Rivière Dragon,S 
528,Grand Port,Rivière du Poste,S 
529,Rivière du Rempart,Rivière du Rempart,N 
530,Flacq,Rivière Profonde,E 
531,Flacq,Rivière Sèche,E 
532,Pamplemousses,Roche Bois,N 
533,Rivière du Rempart,Roche Terre,N 
534,Grand Port,Rocher des Oiseaux,S 
535,Rivière du Rempart,Roches Noires,N 
536,Savanne,Rochester Falls,S 
537,Grand Port,Rose Belle,S 
538,Plaines Wilhems,Rose Hill,C 
539,Moka,Roselyn Cottage,C 
540,Pamplemousses,Rouge Terre,N 
541,Grand Port,Ruisseau Copeau,S 
542,Savanne,Ruisseau des Créoles,S 
543,Pamplemousses,Ruisseau Rose,N 
544,Moka,Salazie,C 
545,Moka,Sans Soucis,C 
546,Savanne,Savannah,S 
547,Grand Port,Savinia,S 
548,Rivière du Rempart,Schoenfeld,N 
549,Flacq,Sébastopol,E 
550,Plaines Wilhems,Solférino,C 
551,Rivière du Rempart,St Antoine,N 
552,Pamplemousses,Solitude,N 
553,Rivière du Rempart,Sottise,N 
554,Savanne,Souillac,S 
555,Savanne,St Aubin,S 
556,Savanne,St Félix,S 
557,Rivière du Rempart,St François,N 
558,Grand Port,St Hubert,S 
559,Plaines Wilhems,St Jean,C 
560,Flacq,St Julien,E 
561,Flacq,St Julien d'Hotman,E 
562,Moka,St Julien Hillock,C 
563,Savanne,St Martin,S 
564,Moka,St Pierre,C 
565,Plaines Wilhems,Stanley,C 
566,Port Louis,Ste Croix,N 
567,Grand Port,Ste Hilaire,S 
568,Grand Port,Ste Philomène,S 
569,Flacq,Ste Ursule,E 
570,Savanne,Surinam,S 
571,Rivière Noire - Black River,Tamarin,W 
574,Savanne,Terracine,S 
575,Pamplemousses,Terre Rouge,N 
576,Pamplemousses,The Mount,N 
577,Rivière du Rempart,The Vale,N 
578,Rivière Noire - Black River,Tour Martello de l'Harmonie,W 
580,Port Louis,Tranquebar,N 
581,Pamplemousses,Triolet,N 
582,Grand Port,Trois Boutiques,S 
583,Rivière Noire - Black River,Trois Cavernes,W 
584,Pamplemousses,Trou aux Biches,N 
585,Plaines Wilhems,Trou aux Cerfs,C 
586,Grand Port,Trou Beloute,S 
587,Plaines Wilhems,Trou de Madame Bouchet,C 
588,Flacq,Trou d'Eau Douce,E 
589,Savanne,Trou Desny,S 
590,Port Louis,Trou Fanfaron,N 
591,Grand Port,Trou Thomy,S 
592,Rivière du Rempart,Union Maurel,N 
593,Grand Port,Union Park,S 
594,Savanne,Union St Aubin,S 
595,Grand Port,Union Vale,S 
596,Plaines Wilhems,Vacoas,C 
597,Moka,Valetta,C 
598,Port Louis,Vallée des Prêtres,N 
599,Port Louis,Vallée du Pouce,N 
600,Port Louis,Vallée Pitot,N 
601,Pamplemousses,Valton,N 
602,Moka,Verdun,C 
603,Grand Port,Vieux Grand Port,S 
604,Plaines Wilhems,Ville d'Avray,C 
605,Grand Port,Ville Noire,S 
606,Pamplemousses,Ville Valio,N 
607,Pamplemousses,Villebague,N 
608,Grand Port,Virginia,S 
609,Port Louis,Virgin's Peak,N 
610,Moka,Vuillemin,C 
611,Rivière Noire - Black River,Wolmar,W 
612,Plaines Wilhems,Wooton,C 
613,Rivière Noire - Black River,Yemen,W 
614,Plaines Wilhems,Pétrin,C 
615,Plaines Wilhems,Trianon,C 
622,Rivière du Rempart,Bain Boeuf,N 
624,Plaines Wilhems,Roches Brunes,C 
625,Grand Port,Caroline,S 
626,Rodrigues,Rodrigues,
628,Rivière du Rempart,Charmoze,N 
629,Plaines Wilhems,Sodnac,C 
630,Pamplemousses,Pointe aux Biches,N 
631,Plaines Wilhems,Belle Rose (Centre),C 
632,Savanne,Rivière des Galets,S 
633,Rivière du Rempart,Forêt Daruty,N 
634,Rivière Noire - Black River,Petite Rivière Noire,W 
635,Rivière Noire - Black River,Pierrefonds,W 
636,Rivière du Rempart,Mont Mascal,N 
637,Rivière Noire - Black River,La Tour Koenig,W 
638,Plaines Wilhems,Castel,C 
639,Plaines Wilhems,Belle Étoile,C 
640,Moka,Montebello,C 
641,Pamplemousses,Khoyratty,N 
642,Flacq,Providence sur mer,E 
643,Plaines Wilhems,St Paul,C 
644,Grand Port,Grand Bel Air,S 
645,Grand Port,Petit Bel Air,S 
646,Plaines Wilhems,Camp Levieux,C 
647,Plaines Wilhems,Plaisance (Centre),C 
648,Port Louis,Cité La Cure,N 
649,Port Louis,Les Salines (Port Louis),N 
